TP,latitude,longitude
Ho Chi Minh,10.83333,106.63278000000001
Ha Noi,21.03333,105.85
Hai Phong,20.86194,106.68028000000001
Can Tho,10.03278,105.78388999999999
Da Nang,16.05194,108.21528
Bien Hoa,10.95694,106.84306000000001
Thanh Hoa,19.80750,105.77638999999999
Nha Trang,12.23889,109.19693999999998
Vung Tau,10.34583,107.08471999999999
Thu Duc,10.88333,106.72693999999998
Hue,16.46278,107.58471999999999
Buon Ma Thuot,12.66667,108.03889
Thai Nguyen,21.56750,105.82556000000001
Vinh,18.68083,105.68167
Hai Duong,20.93972,106.3125
Thu Dau Mot,10.99333,106.65611000000001
Nam Dinh,20.42000,106.16833000000001
Rach Gia,10.02083,105.09028
Ha Long,20.97194,107.04528
My Tho,10.35417,106.36528
Quy Nhon,13.77500,109.23333000000001
Thai Binh,20.44750,106.3375
Da Lat,11.94556,108.44221999999999
Phan Thiet,10.92222,108.10943999999999
Ca Mau,9.18361,105.15
Long Thanh,10.79306,107.01361000000001
Tuy Hoa,13.08222,109.31611000000001
Cam Pha,21.01611,107.33193999999999
Pleiku,13.98361,108.00000
Soc Trang,9.60389,105.97417
Phu My,14.21639,109.11693999999999
Long Xuyen,10.37528,105.41833000000001
Tay Ninh,11.36778,106.11917
Bao Loc,11.53056,107.77806000000001
Bac Ninh,21.18528,106.05639
Bac Lieu,9.25889,105.75193999999999
Chi Linh,21.16194,106.41806000000001
Lang Son,21.85417,106.76167
Vinh Long,10.24583,105.95833
Tra Vinh,9.95139,106.33471999999999
Ben Luc,10.63194,106.49306000000001
Bac Giang,21.29139,106.18693999999999
Tan An,10.53111,106.4125
Hung Yen,20.63667,106.05694
Cam Ranh,11.91361,109.13694
Dong Hoi,17.46861,106.59943999999999
Phu Quoc,10.29611,103.98666999999999
Ninh Binh,20.25111,105.975
Binh Minh,10.02917,105.8525
Lao Cai,22.44028,104.00278
Phan Rang – Thap Cham,11.56667,108.99167
Hoai An,14.30444,108.85528000000001
Yen Bai,21.71667,104.89861
Vinh Yen,21.29889,105.60611000000002
Mong Cai,21.53333,107.96667
Sa Dec,10.30000,105.76666999999999
Tam Ky,15.56528,108.49444
Kon Tum,14.35000,107.99861000000001
Cao Bang,22.66694,106.26028000000001
Dien Bien Phu,21.36667,103.00861
Tuyen Quang,21.81861,105.21167
Quang Ngai,15.12389,108.81166999999999
Hoi An,15.88056,108.33888999999999
Ha Tinh,18.34083,105.9075
Son La,21.32722,103.91417
Dao Con Lon,8.69306,106.60943999999999
Thang Binh District,15.68944,108.38
Quang Tri,16.74694,107.19389
Gia Lam,21.03333,105.95889
Cam Lam,12.07556,109.14028
